,tweet_text,label
0,"RT @RutgersRivals: Curious about @RutgersRivals premium?! 
 
 Take advantage of the best deal of the year – $20.21 for 12 months &amp; get access…",postive
1,"@BeezyMcGee Although we do have many orders shipping out due to our recent Black Friday sale, we welcome you to pla… https://t.co/a3GtRN0z1H",negative
2,Black Friday 2021 https://t.co/f7d0OArfwm,
3,"RT @LeftistMoniker: Well, it worked. Black Friday sales were so abysmal, multiple retailers are looking at potential bankruptcy. It also…",negative
4,"To handle peak sales of more than $3.1 million per minute on Black Friday, @ShopifyEng developed pioneering tools t… https://t.co/OsTswVjbss",positive
5,the other day i lost mine at the mall cuz i was trying on a pair of pants and i didn’t realize till i got home so i… https://t.co/PksjLsrbtd,negative
6,"RT @laurenboebert: On Black Friday, there were 187,585 background checks conducted for firearm purchases in America.
 
 Brandon is giving Oba…",neutral
7,"Full Black Friday/Cyber Monday haul, W or L? https://t.co/IpBP68PpJ3",positive
8,"RT @KaguraGames: The Black Friday Sale 2021 is here and you can find up to 66% off until Dec 1!
 
 We're giving our fans a chance to win our…",positive
9,"RT @ElizabethTaylor: Happy Black Friday! Here, Elizabeth shops for records at the Brentwood Country Mart in the early 50s. https://t.co/N8H…",positive
10,RT @JanetMKnudsen: Win a MacBook Air by entering the free @smashballoon giveaway (no purchase required) and get up to 65% off their #wordpr…,positive
11,@ChiefMedleyyyy I like it a lot. I got mine on a Black Friday deal or something like that so it was almost like I had to get it lol,positive
12,"RT @LeftistMoniker: Well, it worked. Black Friday sales were so abysmal, multiple retailers are looking at potential bankruptcy. It also…",negative
13,RT @mountain_goats: black friday...cyber monday...but on dragon tuesday we carry our tribute to the cave in the misty hill. fuck yes dragon…,
14,"RT @LeftistMoniker: Well, it worked. Black Friday sales were so abysmal, multiple retailers are looking at potential bankruptcy. It also…",negative
15,"RT @LeftistMoniker: Well, it worked. Black Friday sales were so abysmal, multiple retailers are looking at potential bankruptcy. It also…",negative
16,RT @KrazehKai: Black Friday sale~!! The perfect time to grab something as a gift for friends and family (or urself)~✨ https://t.co/bgxqgcrh…,positive
17,@Humanlty1o1 No fake materialistic XMAS for me! I'm done with it-been done since the gibberish about Black Friday &amp;… https://t.co/RUePzIqjgL,negative
18,RT @ASovietOnion: thinking of Him as black friday draws near🥴 https://t.co/fSm4alVG6W,positive
19,RT @ShopifyEng: 2021 was our biggest Black Friday Cyber Monday ever! Together with our friends at @GoogleCloud we achieved near-perfect upt…,positive
